Model,name,val_recall,val_precision,val_f1,val_roc_auc,val_pr_auc,test_recall,test_precision,test_f1,test_roc_auc,test_pr_auc,training_time
Logistic Regression,Logistic Regression,0.7688207861425717,0.08,0.14492025618485496,0.873771964078732,0.20894781855471697,0.7365967365967366,0.08020711711254379,0.14466214978941586,0.8575107424630704,0.1472319935145041,30.699620008468628
Random Forest,Random Forest,0.8807461692205196,0.5499168053244592,0.6770806658130601,0.9953926891498296,0.868498448624574,0.8372960372960373,0.47201051248357423,0.6036974789915966,0.9913837715524573,0.795530461363333,49.29639911651611
XGBoost,XGBoost,0.966022651565623,0.42747641509433965,0.592683425301451,0.9985947659272295,0.9415819438685039,0.9212121212121213,0.34819383259911896,0.5053708439897698,0.9940998928404405,0.864234610713557,4.617452144622803
LightGBM,LightGBM,0.978014656895403,0.2843858969391709,0.4406423532943119,0.9986126337364175,0.9237159975711465,0.9547785547785548,0.22207764042507047,0.36034133896366677,0.9969198812450121,0.8604511304669747,4.222031116485596
SMOTE + XGBoost,SMOTE + XGBoost,0.8627581612258495,0.8191018342820999,0.8403634003893575,0.9963821381400302,0.9086822233815742,0.8172494172494172,0.7213991769547325,0.7663387978142077,0.9934136191653705,0.8581098655726441,12.812077045440674
SMOTE + LightGBM,SMOTE + LightGBM,0.844103930712858,0.743108504398827,0.7903930131004366,0.9945872450033014,0.8805866612432539,0.8121212121212121,0.6459028550241008,0.7195373812474184,0.992231933700283,0.8309223746629186,8.635920286178589
