model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_time
logistic_regression,0.82027,0.15539499548424798,0.585,0.2455610124669437,0.7765508294736843,0.4569817718260263,0.82084,0.15428265524625268,0.5764,0.24341216216216216,0.7687082610526316,0.44746174589342463,2.3456268310546875
random_forest,0.85568,0.18846611177170036,0.5706,0.28334492005164363,0.780723087368421,0.4790051221622878,0.85872,0.19216241737488196,0.5698,0.2874003833350146,0.7844112063157895,0.4743189139489525,10.896060466766357
xgboost,0.83174,0.1674727252277584,0.5956,0.26143446580633833,0.7747683673684211,0.4708041873528506,0.8345,0.17003770997600273,0.5952,0.2645098213492134,0.7785175915789474,0.46446174565236625,2.7299857139587402
lightgbm,0.78332,0.14524093308360292,0.6824,0.23950582619682717,0.78398232,0.4743433576608113,0.78682,0.14786361674579196,0.6852,0.2432374866879659,0.7866784515789473,0.46908408386231765,1.61672043800354
xgboost_SMOTE,0.81125,0.15623606362420098,0.6306,0.2504269091775545,0.7736805357894737,0.4729023570023749,0.81506,0.157269125266687,0.6192,0.2508304302033541,0.7703698831578947,0.46632516481004166,3.9298627376556396
lightgbm_SMOTE,0.79592,0.15045372050816697,0.6632,0.2452662721893491,0.7810154936842104,0.4760959968826277,0.79847,0.1507398700041488,0.654,0.2450080545461357,0.7758566821052632,0.46762030243069996,2.4536895751953125
